"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"M1,M2","2","Motor_DC","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"MX-5A_ESC1","1","","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"TP1","1","BatteryPower","","","","Connector_Wire:SolderWire-2sqmm_1x01_D2mm_OD3.9mm",""
"TP2","1","BattteryGND","","","","Connector_Wire:SolderWire-2sqmm_1x01_D2mm_OD3.9mm",""
"TP3","1","Load","","","","Connector_Wire:SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm",""
"TP4","1","Power","","","","Connector_Wire:SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm",""
"TP5","1","GND","","","","Connector_Wire:SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm",""
"U1","1","XIAO-RP2040-DIP","","","","Seeed Studio XIAO Series Library:XIAO-RP2040-DIP",""
"U2","1","DRV8833PW","","","","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/drv8833.pdf"
"U3","1","WeaponMotor","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"U4","1","Recever","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
